word, total-reached, POS, num-definitions-considered
Hindu_calendar_month, 2975, n, 1
aweless, 2968, n, 1
mediaeval, 2964, n, 1
logrolling, 2965, n, 1
Culvers_physic, 2964, n, 1
tire, 2965, n, 1
blood_count, 2965, n, 1
pressure, 2966, n, 1
songful, 1, n, 1
itinerant, 2966, n, 1
drag_one's_heels, 2964, n, 1
Helen_Adams_Keller, 3084, n, 1
political_movement, 2964, n, 1
pay_off, 2964, n, 1
second_wind, 2964, n, 1
jack, 2965, n, 1
magnetic_induction, 2964, n, 1
cover_slip, 2966, n, 1
vat, 2964, n, 1
redolent, 2964, n, 1
Valerianella_locusta, 2975, n, 1
silver_berry, 2964, n, 1
kerugma, 2965, n, 1
genus_Eruca, 2964, n, 1
Princeton_WordNet, 2965, n, 1
thickened, 2964, n, 1
opaqueness, 2966, n, 1
cinder_track, 2965, n, 1
Electra_complex, 2964, n, 1
frog_orchid, 2968, n, 1
catfish, 2964, n, 1
Maria_Mitchell, 2966, n, 1
still-fish, 2966, n, 1
spring, 2966, n, 1
sprat, 2964, n, 1
vinegar, 2963, n, 1
gaze, 2965, n, 1
mount, 2964, n, 1
faintly, 2965, n, 1
common, 2964, n, 1
indemnify, 2965, n, 1
headfish, 2969, n, 1
vicious, 2964, n, 1
fade, 2965, n, 1
blue_darter, 2966, n, 1
bailable, 2972, n, 1
air_hole, 2964, n, 1
impulsive, 2965, n, 1
leap, 2966, n, 1
levy, 2978, n, 1
blacksnake, 2967, n, 1
Boltonia, 2964, n, 1
purportedly, 2964, n, 1
French_leave, 2964, n, 1
contused, 2964, n, 1
jet_plane, 2966, n, 1
Holocentridae, 1, n, 1
acquire, 2967, n, 1
William_Tyndale, 3069, n, 1
Seriola_grandis, 2964, n, 1
come_by, 2973, n, 1
turn, 2964, n, 1
cause_to_sleep, 2964, n, 1
preventative, 2965, n, 1
James_Murray, 2984, n, 1
convening, 2964, n, 1
bandelette, 2967, n, 1
go_along, 2967, n, 1
Hualpai, 2969, n, 1
cookbook, 2964, n, 1
tyranny, 2970, n, 1
ti, 2968, n, 1
veldt, 2965, n, 1
tackler, 2965, n, 1
family_Embiotocidae, 2971, n, 1
dental_school, 2966, n, 1
Nootka, 3010, n, 1
nidus, 2964, n, 1
achira, 2972, n, 1
privileged, 1, n, 1
Jackson, 2966, n, 1
bog_asphodel, 2975, n, 1
teahouse, 2965, n, 1
underspent, 2965, n, 1
mother, 2964, n, 1
squirt, 2965, n, 1
inclusive, 2964, n, 1
dislike, 2966, n, 1
plowman, 2964, n, 1
extort, 2965, n, 1
Aplodontiidae, 2964, n, 1
federita, 2966, n, 1
next-to-last, 2964, n, 1
phylum_Coelenterata, 2964, n, 1
Pakistan, 2975, n, 1
outguess, 2964, n, 1
line_drive, 2968, n, 1
genus_Conferva, 2967, n, 1
Bighorn, 2971, n, 1
acquirer, 2964, n, 1
blood_money, 2967, n, 1
tabbouleh, 2968, n, 1
Jack_Roosevelt_Robinson, 2964, n, 1
anathemise, 2965, n, 1
fillet, 2976, n, 1
growling, 2964, n, 1
beater, 2965, n, 1
